1	0.650933	SUPERFIELD
1:1	0.362145	MOLECULAR & CELL BIOLOGY
1:1:1	0.024447	NATURE	NATURE
1:1:2	0.024228	SCIENCE	SCIENCE
1:1:3	0.02186	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.021191	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.013529	CELL	CELL
1:1:6	0.005585	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0046196	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:8	0.0045015	NAT GENET	NATURE GENETICS
1:1:9	0.0033995	NEURON	NEURON
1:1:10	0.0029695	NAT MED	NATURE MEDICINE
1:1:11	0.0024478	IMMUNITY	IMMUNITY
1:1:12	0.0016687	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.0014736	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0011623	J NATL CANCER I	JOURNAL OF THE NATIONAL CANCER INSTITUTE
1:1:15	0.0011304	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:16	0.0011042	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:17	0.00086342	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:18	0.00083957	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:19	0.00065352	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:20	0.00064334	CLIN CANCER RES	CLINICAL CANCER RESEARCH
1:1:21	0.00059578	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:22	0.00049826	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:23	0.00043579	ENDOCR REV	ENDOCRINE REVIEWS
1:1:24	0.00042344	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:25	0.00038623	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:26	0.00037609	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:27	0.00032463	NEUROIMAGE	NEUROIMAGE
1:1:28	0.0002278	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:29	0.00021523	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:30	0.00020708	HUM BRAIN MAPP	HUMAN BRAIN MAPPING
1:1:31	0.00019398	MOL PSYCHIATR	MOLECULAR PSYCHIATRY
1:1:32	0.0001913	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:33	0.00012609	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:34	8.3018e-05	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:1:35	9.7927e-06	ENDOCR-RELAT CANCER	ENDOCRINE-RELATED CANCER
1:2	0.0774403	MEDICINE
1:2:1	0.006391	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0052005	LANCET	LANCET
1:2:3	0.004723	CIRCULATION	CIRCULATION
1:2:4	0.0038373	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0022892	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0017792	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0016547	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0014683	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0013957	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:10	0.00097177	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:11	0.00092232	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:12	0.00091808	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:13	0.00091028	AIDS	AIDS
1:2:14	0.00076489	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:15	0.00070822	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:16	0.0006256	DIABETES CARE	DIABETES CARE
1:2:17	0.00058599	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:18	0.00044269	THORAX	THORAX
1:2:19	0.00043345	EUR HEART J	EUROPEAN HEART JOURNAL
