1	0.659566	SUPERFIELD
1:1	0.320849	MOLECULAR & CELL BIOLOGY
1:1:1	0.019917	NATURE	NATURE
1:1:2	0.01905	SCIENCE	SCIENCE
1:1:3	0.018301	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:4	0.018212	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:5	0.0065975	CELL	CELL
1:1:6	0.003272	NEURON	NEURON
1:1:7	0.0032274	NAT GENET	NATURE GENETICS
1:1:8	0.0031675	GENE DEV	GENES & DEVELOPMENT
1:1:9	0.0029811	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:10	0.0026509	NAT MED	NATURE MEDICINE
1:1:11	0.0016072	IMMUNITY	IMMUNITY
1:1:12	0.00151	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:13	0.001002	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:14	0.00090106	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:15	0.00085709	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:16	0.00077261	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:17	0.00074728	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:18	0.0006756	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:19	0.00057	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:20	0.00054704	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:21	0.00040838	ENDOCR REV	ENDOCRINE REVIEWS
1:1:22	0.00032489	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:23	0.00030419	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:24	0.0003002	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:25	0.00028175	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:26	0.00023721	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:27	0.0001984	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:2	0.0892672	MEDICINE
1:2:1	0.007183	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0054769	CIRCULATION	CIRCULATION
1:2:3	0.005002	LANCET	LANCET
1:2:4	0.0045493	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0022425	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:6	0.0020597	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:7	0.0014639	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0013643	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:9	0.0012342	DIABETES CARE	DIABETES CARE
1:2:10	0.0011489	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:11	0.001073	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:12	0.0010204	J AM SOC NEPHROL	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
1:2:13	0.0008948	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:14	0.00085935	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:15	0.0008137	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:16	0.00070785	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:17	0.00064298	J BONE MINER RES	JOURNAL OF BONE AND MINERAL RESEARCH
1:2:18	0.00046807	THORAX	THORAX
1:2:19	0.00039086	MED CARE	MEDICAL CARE
1:2:20	0.00028916	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:21	0.00010685	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2:22	7.5663e-05	J HEALTH SOC BEHAV	JOURNAL OF HEALTH AND SOCIAL BEHAVIOR
1:2:23	6.5995e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:2:24	6.2203e-05	MILBANK Q	MILBANK QUARTERLY
1:2:25	5.0856e-05	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:3	0.0334331	GEOSCIENCES
1:3:1	0.0026489	GEOPHYS RES LETT	GEOPHYSICAL RESEARCH LETTERS
1:3:2	0.0012116	EARTH PLANET SC LETT	EARTH AND PLANETARY SCIENCE LETTERS
1:3:3	0.00089513	J CLIMATE	JOURNAL OF CLIMATE
1:3:4	0.00084473	GEOCHIM COSMOCHIM AC	GEOCHIMICA ET COSMOCHIMICA ACTA
1:3:5	0.00073649	GEOLOGY	GEOLOGY
1:3:6	0.00055838	ICARUS	ICARUS
1:3:7	0.00040116	MON WEATHER REV	MONTHLY WEATHER REVIEW
1:3:8	0.00039667	QUATERNARY SCI REV	QUATERNARY SCIENCE REVIEWS
1:3:9	0.00037601	REMOTE SENS ENVIRON	REMOTE SENSING OF ENVIRONMENT
1:3:10	0.00034742	B AM METEOROL SOC	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1:3:11	0.00034727	GLOBAL BIOGEOCHEM CY	GLOBAL BIOGEOCHEMICAL CYCLES
1:3:12	0.00029726	CLIM DYNAM	CLIMATE DYNAMICS
1:3:13	0.0002358	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY
1:3:14	0.00023424	INT J CLIMATOL	INTERNATIONAL JOURNAL OF CLIMATOLOGY
1:3:15	0.00022182	J PETROL	JOURNAL OF PETROLOGY
1:3:16	0.0002131	GEOL SOC AM BULL	GEOLOGICAL SOCIETY OF AMERICA BULLETIN
1:3:17	0.00021299	CONTRIB MINERAL PETR	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY
1:3:18	0.0002097	DEEP-SEA RES PT I	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS
1:3:19	0.00018741	CLIMATIC CHANGE	CLIMATIC CHANGE
1:3:20	0.00015221	REV GEOPHYS	REVIEWS OF GEOPHYSICS
1:3:21	0.00014438	TECTONICS	TECTONICS
1:3:22	0.00013454	EARTH-SCI REV	EARTH-SCIENCE REVIEWS
1:3:23	0.00010666	TELLUS B	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY
1:3:24	0.00010256	ANNU REV EARTH PL SC	ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES
1:3:25	8.2954e-05	AM J SCI	AMERICAN JOURNAL OF SCIENCE
1:3:26	7.4898e-06	ADV GEOPHYS	ADVANCES IN GEOPHYSICS
1:4	0.0320618	PSYCHIATRY
1:4:1	0.0013218	NEUROIMAGE	NEUROIMAGE
1:4:2	0.0011928	AM J PSYCHIAT	AMERICAN JOURNAL OF PSYCHIATRY
1:4:3	0.00089351	BIOL PSYCHIAT	BIOLOGICAL PSYCHIATRY
1:4:4	0.00084078	ARCH GEN PSYCHIAT	ARCHIVES OF GENERAL PSYCHIATRY
1:4:5	0.0007281	J PERS SOC PSYCHOL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
